"Sl. No","App ID","Zip File","App Name","Product","App Features","Expected Folders","Prompt","Functional Requirements","Success Criteria","Expected Platform Features","Complexity","Reference Links","Picked By"
"28","16826","app_16826_v640043.zip","Out Of Office","freshdesk","## Out Of Office Agents can choose when they are going out of office, Admin can define what should be done when the agent is not avaialable. ### Folder structure explained . ├── README.md This file ├── server │ ├── server.js Server side code. ├── app Contains the files that are required for the front end component of the app │ ├── app.js JS to render the dynamic portions of the app │ ├── icon.svg Sidebar icon SVG file. Should have a resolution of 64x64px. │ ├── freshdesk_logo.png The Freshdesk l…

Goals
- Deliver the packaged workflow reliably in freshdesk.
- Keep configuration and side effects observable and safe.
- Meet the functional requirements without blocking validation issues.

User Stories
- As an admin, I want to install and configure the app with clear parameters.
- As an agent, I want the app to behave correctly in its declared UI or event surfaces.
- As an operator, I want failures to surface in logs or UI without silent drops.","app, config, server","Build a Freshworks Platform app for freshdesk (Out Of Office). Package reference: app_16826_v640043.zip. Match folder layout: app, config, server. Implement Functional Requirements and Success Criteria verbatim intent; materialize Expected Platform Features using manifest-safe patterns.","- Render UI in locations full_page_app (product freshdesk) (Must)
- When events onConversationCreate, onTicketUpdate fire (product freshdesk), run the declared server handlers (Must)
- Use request templates createFdTicket, getAgent, getData, getDatas, getGroupDetails, getModalAgent, getModalData, getTicketFields for outbound calls (product freshdesk) (Must)
- Collect and validate installation parameters via iparams (Must)
- Log serverless and request failures with enough context to debug (Should)","- Declared app surfaces load in-product without console errors for Out Of Office
- Configured serverless / scheduled handlers run when triggers fire without unhandled exceptions
- Request templates return expected HTTP outcomes; API/auth errors are surfaced clearly
- Installation parameters save correctly and are used on subsequent runs
- App passes fdk validate for the declared platform-version
- Invalid configuration or upstream failures do not leave the app in a silent broken state","App locations (freshdesk): full_page_app
Serverless events (freshdesk): onConversationCreate, onTicketUpdate
Request templates (freshdesk): createFdTicket, getAgent, getData, getDatas, getGroupDetails, getModalAgent, getModalData, getTicketFields
Crayons UI (components referenced in app assets)
Data methods (client.data / interface usage in frontend)
iparams (installation / configuration parameters)","Low","",""
"29","20740","app_20740_v120406.zip","Your First App","freshcaller","## Your First App Congratulations on creating your first app! Feel free to replace this text with your app's actual description. ### Folder structure explained . ├── README.md This file ├── app Contains the files that are required for the front end component of the app │ ├── app.js JS to render the dynamic portions of the app │ ├── icon.svg Sidebar icon SVG file. Should have a resolution of 64x64px. │ ├── freshcaller_logo.png The Freshcaller logo that is displayed in the app │ ├── style.css Styl…

Goals
- Deliver the packaged workflow reliably in freshcaller.
- Keep configuration and side effects observable and safe.
- Meet the functional requirements without blocking validation issues.

User Stories
- As an admin, I want to install and configure the app with clear parameters.
- As an agent, I want the app to behave correctly in its declared UI or event surfaces.
- As an operator, I want failures to surface in logs or UI without silent drops.","app, config","Build a Freshworks Platform app for freshcaller (Your First App). Package reference: app_20740_v120406.zip. Match folder layout: app, config. Implement Functional Requirements and Success Criteria verbatim intent; materialize Expected Platform Features using manifest-safe patterns.","- Render UI in locations conversation_card, notification_card, widget_conversation_card, widget_notification_card (product freshcaller) (Must)
- Collect and validate installation parameters via iparams (Must)
- Only call domains allowed by whitelisted-domains / request templates (Must)
- Log serverless and request failures with enough context to debug (Should)","- Declared app surfaces load in-product without console errors for Your First App
- Installation parameters save correctly and are used on subsequent runs
- App passes fdk validate for the declared platform-version
- Invalid configuration or upstream failures do not leave the app in a silent broken state","Whitelisted domains (external API / product hosts)
App locations (freshcaller): conversation_card, notification_card, widget_conversation_card, widget_notification_card
Data methods (client.data / interface usage in frontend)
iparams (installation / configuration parameters)","Low","",""
"30","20878","app_20878_v711942.zip","Freshdesk Backend app for all pods in IPaaS","freshdesk","## Freshdesk Backend app for all pods in IPaaS Backend app which listens to freshdesk's product events. ### Project folder structure explained . ├── README.md This file. ├── config │ ├── iparams.json Installation parameter config. │ └── iparam_test_data.json Installation parameter data for local testing. └── manifest.json Project manifest and add the dependecies here. └── server Business logic for remote request and event handlers. ├── lib │ └── freshpipe-config.js IPaaS Lambda configurations │…

Goals
- Deliver the packaged workflow reliably in freshdesk.
- Keep configuration and side effects observable and safe.
- Meet the functional requirements without blocking validation issues.

User Stories
- As an admin, I want to install and configure the app with clear parameters.
- As an agent, I want the app to behave correctly in its declared UI or event surfaces.
- As an operator, I want failures to surface in logs or UI without silent drops.","config, server","Build a Freshworks Platform app for freshdesk (Freshdesk Backend app for all pods in IPaaS). Package reference: app_20878_v711942.zip. Match folder layout: config, server. Implement Functional Requirements and Success Criteria verbatim intent; materialize Expected Platform Features using manifest-safe patterns.","- When events onAppUninstall, onCompanyCreate, onCompanyDelete, onCompanyUpdate, onContactCreate, onContactUpdate fire (product freshdesk), run the declared server handlers (Must)
- Collect and validate installation parameters via iparams (Must)
- Log serverless and request failures with enough context to debug (Should)","- Configured serverless / scheduled handlers run when triggers fire without unhandled exceptions
- Installation parameters save correctly and are used on subsequent runs
- App passes fdk validate for the declared platform-version
- Invalid configuration or upstream failures do not leave the app in a silent broken state","Serverless events (freshdesk): onAppUninstall, onCompanyCreate, onCompanyDelete, onCompanyUpdate, onContactCreate, onContactUpdate
iparams (installation / configuration parameters)","Low","",""
"31","20880","app_20880_v711906.zip","Freshsales Backend app for all pods in IPaaS","freshsales / freshworks_crm","## Freshsales Backend app for all pods in IPaaS Backend app which listens to freshsales's product events. ### Project folder structure explained . ├── README.md This file. ├── config │ ├── iparams.json Installation parameter config. │ └── iparam_test_data.json Installation parameter data for local testing. └── manifest.json Project manifest and add the dependecies here. └── server Business logic for remote request and event handlers. ├── lib │ └── freshpipe-config.js IPaaS Lambda configurations…

Goals
- Deliver the packaged workflow reliably in freshsales / freshworks_crm.
- Keep configuration and side effects observable and safe.
- Meet the functional requirements without blocking validation issues.

User Stories
- As an admin, I want to install and configure the app with clear parameters.
- As an agent, I want the app to behave correctly in its declared UI or event surfaces.
- As an operator, I want failures to surface in logs or UI without silent drops.","config, server","Build a Freshworks Platform app for freshsales / freshworks_crm (Freshsales Backend app for all pods in IPaaS). Package reference: app_20880_v711906.zip. Match folder layout: config, server. Implement Functional Requirements and Success Criteria verbatim intent; materialize Expected Platform Features using manifest-safe patterns.","- When events onAppUninstall, onContactCreate, onContactDelete, onContactUpdate, onLeadCreate, onLeadDelete, onLeadUpdate, onSalesAccountCreate, onSalesAccountDelete, onSalesAccountUpdate fire (product freshsales), run the declared server handlers (Must)
- When events onAppUninstall, onContactCreate, onContactDelete, onContactUpdate, onSalesAccountCreate, onSalesAccountDelete, onSalesAccountUpdate fire (product freshworks_crm), run the declared server handlers (Must)
- Collect and validate installation parameters via iparams (Must)
- Log serverless and request failures with enough context to debug (Should)","- Configured serverless / scheduled handlers run when triggers fire without unhandled exceptions
- Installation parameters save correctly and are used on subsequent runs
- App passes fdk validate for the declared platform-version
- Invalid configuration or upstream failures do not leave the app in a silent broken state","Serverless events (freshsales): onAppUninstall, onContactCreate, onContactDelete, onContactUpdate, onLeadCreate, onLeadDelete, onLeadUpdate, onSalesAccountCreate, onSalesAccountDelete, onSalesAccountUpdate
Serverless events (freshworks_crm): onAppUninstall, onContactCreate, onContactDelete, onContactUpdate, onSalesAccountCreate, onSalesAccountDelete, onSalesAccountUpdate
iparams (installation / configuration parameters)","Medium","",""
"32","23344","app_23344_v64344.zip","App 23344","freshdesk","App 23344 extends freshdesk with behaviors declared in manifest (see Expected Platform Features).

Goals
- Deliver the packaged workflow reliably in freshdesk.
- Keep configuration and side effects observable and safe.
- Meet the functional requirements without blocking validation issues.

User Stories
- As an admin, I want to install and configure the app with clear parameters.
- As an agent, I want the app to behave correctly in its declared UI or event surfaces.
- As an operator, I want failures to surface in logs or UI without silent drops.","config, server","Build a Freshworks Platform app for freshdesk (App 23344). Package reference: app_23344_v64344.zip. Match folder layout: config, server. Implement Functional Requirements and Success Criteria verbatim intent; materialize Expected Platform Features using manifest-safe patterns.","- Collect and validate installation parameters via iparams (Must)
- Log serverless and request failures with enough context to debug (Should)","- Installation parameters save correctly and are used on subsequent runs
- App passes fdk validate for the declared platform-version
- Invalid configuration or upstream failures do not leave the app in a silent broken state","iparams (installation / configuration parameters)","Low","",""
"33","23516","app_23516_v291542.zip","Your First App","freshchat","## Your First App Congratulations on creating your first app! Feel free to replace this text with your app's actual description. ### Folder structure explained . ├── README.md This file ├── app Contains the files that are required for the front end component of the app │ ├── app.js JS to render the dynamic portions of the app │ ├── icon.svg Sidebar icon SVG file. Should have a resolution of 64x64px. │ ├── freshchat_logo.png The Freshchat logo that is displayed in the app │ ├── style.css Style sh…

Goals
- Deliver the packaged workflow reliably in freshchat.
- Keep configuration and side effects observable and safe.
- Meet the functional requirements without blocking validation issues.

User Stories
- As an admin, I want to install and configure the app with clear parameters.
- As an agent, I want the app to behave correctly in its declared UI or event surfaces.
- As an operator, I want failures to surface in logs or UI without silent drops.","app, config","Build a Freshworks Platform app for freshchat (Your First App). Package reference: app_23516_v291542.zip. Match folder layout: app, config. Implement Functional Requirements and Success Criteria verbatim intent; materialize Expected Platform Features using manifest-safe patterns.","- Render UI in locations conversation_user_info (product freshchat) (Must)
- Use request templates requestTemplateAU, requestTemplateEU, requestTemplateIN, requestTemplateUS for outbound calls (product freshchat) (Must)
- Collect and validate installation parameters via iparams (Must)
- Log serverless and request failures with enough context to debug (Should)","- Declared app surfaces load in-product without console errors for Your First App
- Request templates return expected HTTP outcomes; API/auth errors are surfaced clearly
- Installation parameters save correctly and are used on subsequent runs
- App passes fdk validate for the declared platform-version
- Invalid configuration or upstream failures do not leave the app in a silent broken state","App locations (freshchat): conversation_user_info
Request templates (freshchat): requestTemplateAU, requestTemplateEU, requestTemplateIN, requestTemplateUS
Crayons UI (components referenced in app assets)
Data methods (client.data / interface usage in frontend)
iparams (installation / configuration parameters)","Low","",""
"34","25380","app_25380_v695792.zip","Freshdesk App Project","Modules: common, support_email, support_ticket","## Freshdesk App Project Congratulations on creating your App Project! Feel free to replace this text with your project description. ### Project folder structure explained . ├── README.md This file. ├── config Installation parameter configs. │ ├── iparams.json Installation parameter config in English language. │ └── iparam_test_data.json Installation parameter data for local testing. └── manifest.json Project manifest. └── server Business logic for remote request and event handlers. ├── lib │ └─…

Goals
- Deliver the packaged workflow reliably in Modules: common, support_email, support_ticket.
- Keep configuration and side effects observable and safe.
- Meet the functional requirements without blocking validation issues.

User Stories
- As an admin, I want to install and configure the app with clear parameters.
- As an agent, I want the app to behave correctly in its declared UI or event surfaces.
- As an operator, I want failures to surface in logs or UI without silent drops.","app, config","Build a Freshworks Platform app for Modules: common, support_email, support_ticket (Freshdesk App Project). Package reference: app_25380_v695792.zip. Match folder layout: app, config. Implement Functional Requirements and Success Criteria verbatim intent; materialize Expected Platform Features using manifest-safe patterns.","- Render UI in locations new_ticket_background, ticket_background (module support_ticket) (Must)
- Render UI in locations new_email_background (module support_email) (Must)
- Use request templates getAdminTicketFields, getTicketFields, getUserRoles for outbound calls (module common) (Must)
- Collect and validate installation parameters via iparams (Must)
- Log serverless and request failures with enough context to debug (Should)","- Declared app surfaces load in-product without console errors for Freshdesk App Project
- Request templates return expected HTTP outcomes; API/auth errors are surfaced clearly
- Installation parameters save correctly and are used on subsequent runs
- App passes fdk validate for the declared platform-version
- Invalid configuration or upstream failures do not leave the app in a silent broken state","App locations (module support_ticket): new_ticket_background, ticket_background
App locations (module support_email): new_email_background
Request templates (module common): getAdminTicketFields, getTicketFields, getUserRoles
Crayons UI (components referenced in app assets)
Data methods (client.data / interface usage in frontend)
iparams (installation / configuration parameters)","Low","",""
"35","27401","app_27401_v690250.zip","App 27401","Modules: common, support_ticket","App 27401 extends Modules: common, support_ticket with behaviors declared in manifest (see Expected Platform Features).

Goals
- Deliver the packaged workflow reliably in Modules: common, support_ticket.
- Keep configuration and side effects observable and safe.
- Meet the functional requirements without blocking validation issues.

User Stories
- As an admin, I want to install and configure the app with clear parameters.
- As an agent, I want the app to behave correctly in its declared UI or event surfaces.
- As an operator, I want failures to surface in logs or UI without silent drops.","config, server","Build a Freshworks Platform app for Modules: common, support_ticket (App 27401). Package reference: app_27401_v690250.zip. Match folder layout: config, server. Implement Functional Requirements and Success Criteria verbatim intent; materialize Expected Platform Features using manifest-safe patterns.","- When events onConversationCreate, onTicketCreate fire (module support_ticket), run the declared server handlers (Must)
- Use request templates createNotes, getTicketDetailsById, getTicketFields, searchTickets, searchTicketsByRequester, updateTicket for outbound calls (module common) (Must)
- Collect and validate installation parameters via iparams (Must)
- Log serverless and request failures with enough context to debug (Should)","- Configured serverless / scheduled handlers run when triggers fire without unhandled exceptions
- Request templates return expected HTTP outcomes; API/auth errors are surfaced clearly
- Installation parameters save correctly and are used on subsequent runs
- App passes fdk validate for the declared platform-version
- Invalid configuration or upstream failures do not leave the app in a silent broken state","Request templates (module common): createNotes, getTicketDetailsById, getTicketFields, searchTickets, searchTicketsByRequester, updateTicket
Serverless events (module support_ticket): onConversationCreate, onTicketCreate
iparams (installation / configuration parameters)","Low","",""
"36","30493","app_30493_v248732.zip","App 30493","Freshworks Platform","App 30493 extends Freshworks Platform with behaviors declared in manifest (see Expected Platform Features).

Goals
- Deliver the packaged workflow reliably in Freshworks Platform.
- Keep configuration and side effects observable and safe.
- Meet the functional requirements without blocking validation issues.

User Stories
- As an admin, I want to install and configure the app with clear parameters.
- As an agent, I want the app to behave correctly in its declared UI or event surfaces.
- As an operator, I want failures to surface in logs or UI without silent drops.","app, config, server, src","Build a Freshworks Platform app for Freshworks Platform (App 30493). Package reference: app_30493_v248732.zip. Match folder layout: app, config, server, src. Implement Functional Requirements and Success Criteria verbatim intent; materialize Expected Platform Features using manifest-safe patterns.","- Render UI in locations conversation_message_editor (product freshchat) (Must)
- When events onAppInstall, onAppUninstall fire (product freshchat), run the declared server handlers (Must)
- Expose SMI functions sendTranscript where declared (product freshchat) (Must)
- Collect and validate installation parameters via iparams (Must)
- Only call domains allowed by whitelisted-domains / request templates (Must)
- Log serverless and request failures with enough context to debug (Should)","- Declared app surfaces load in-product without console errors for App 30493
- Configured serverless / scheduled handlers run when triggers fire without unhandled exceptions
- SMI function invocations complete within platform timeouts and return structured errors on failure
- Installation parameters save correctly and are used on subsequent runs
- App passes fdk validate for the declared platform-version
- Invalid configuration or upstream failures do not leave the app in a silent broken state","Whitelisted domains (external API / product hosts)
App locations (freshchat): conversation_message_editor
Serverless events (freshchat): onAppInstall, onAppUninstall
SMI functions (freshchat): sendTranscript
Data methods (client.data / interface usage in frontend)
iparams (installation / configuration parameters)","Low","",""
"37","34538","app_34538_v666193.zip","Freshdesk App Project","Modules: common, service_ticket","## Freshdesk App Project Congratulations on creating your App Project! Feel free to replace this text with your project description. ### Project folder structure explained . ├── README.md This file. ├── config Installation parameter configs. │ ├── iparams.json Installation parameter config in English language. │ └── iparam_test_data.json Installation parameter data for local testing. └── manifest.json Project manifest. └── server Business logic for remote request and event handlers. ├── lib │ └─…

Goals
- Deliver the packaged workflow reliably in Modules: common, service_ticket.
- Keep configuration and side effects observable and safe.
- Meet the functional requirements without blocking validation issues.

User Stories
- As an admin, I want to install and configure the app with clear parameters.
- As an agent, I want the app to behave correctly in its declared UI or event surfaces.
- As an operator, I want failures to surface in logs or UI without silent drops.","app, config","Build a Freshworks Platform app for Modules: common, service_ticket (Freshdesk App Project). Package reference: app_34538_v666193.zip. Match folder layout: app, config. Implement Functional Requirements and Success Criteria verbatim intent; materialize Expected Platform Features using manifest-safe patterns.","- Render UI in locations ticket_background (module service_ticket) (Must)
- Use request templates getTicketFields, verifyAPIKey for outbound calls (module common) (Must)
- Collect and validate installation parameters via iparams (Must)
- Log serverless and request failures with enough context to debug (Should)","- Declared app surfaces load in-product without console errors for Freshdesk App Project
- Request templates return expected HTTP outcomes; API/auth errors are surfaced clearly
- Installation parameters save correctly and are used on subsequent runs
- App passes fdk validate for the declared platform-version
- Invalid configuration or upstream failures do not leave the app in a silent broken state","Request templates (module common): getTicketFields, verifyAPIKey
App locations (module service_ticket): ticket_background
Crayons UI (components referenced in app assets)
Data methods (client.data / interface usage in frontend)
iparams (installation / configuration parameters)","Medium","",""
"38","35073","app_35073_v432403.zip","Clone Ticket","freshdesk","# Clone Ticket FreshDesk marketplace app to clone a ticket https://www.freshworks.com/apps/freshdesk/clone_ticket_1 ## Setup 1. Install nvm: `brew install nvm`. Verify installation: `nvm --version` 2. Install node: `nvm install 18.16.0`. Verify installation: `node --version` 3. Install xcode: `xcode-select --install`. Verify installation: `xcode-select -p` 4. Install fdk: `npm install https://cdn.freshdev.io/fdk/latest.tgz -g`. Verify installation: `fdk version` 5. Install packages: `npm install…

Goals
- Deliver the packaged workflow reliably in freshdesk.
- Keep configuration and side effects observable and safe.
- Meet the functional requirements without blocking validation issues.

User Stories
- As an admin, I want to install and configure the app with clear parameters.
- As an agent, I want the app to behave correctly in its declared UI or event surfaces.
- As an operator, I want failures to surface in logs or UI without silent drops.","app, config, server","Build a Freshworks Platform app for freshdesk (Clone Ticket). Package reference: app_35073_v432403.zip. Match folder layout: app, config, server. Implement Functional Requirements and Success Criteria verbatim intent; materialize Expected Platform Features using manifest-safe patterns.","- Render UI in locations ticket_sidebar (product freshdesk) (Must)
- Use request templates addNote, createTicket, getTicket for outbound calls (product freshdesk) (Must)
- Expose SMI functions addAttachments, addLog where declared (product freshdesk) (Must)
- Collect and validate installation parameters via iparams (Must)
- Log serverless and request failures with enough context to debug (Should)","- Declared app surfaces load in-product without console errors for Clone Ticket
- Request templates return expected HTTP outcomes; API/auth errors are surfaced clearly
- SMI function invocations complete within platform timeouts and return structured errors on failure
- Installation parameters save correctly and are used on subsequent runs
- App passes fdk validate for the declared platform-version
- Invalid configuration or upstream failures do not leave the app in a silent broken state","App locations (freshdesk): ticket_sidebar
Request templates (freshdesk): addNote, createTicket, getTicket
SMI functions (freshdesk): addAttachments, addLog
Crayons UI (components referenced in app assets)
Data methods (client.data / interface usage in frontend)
iparams (installation / configuration parameters)","Low","",""
"39","44069","app_44069_v677869.zip","SCIM FreshService App","Modules: common, service_user","## SCIM FreshService App ### Folder structure explained . ├── README.md This file ├── app Contains the files that are required for the front end component of the app │ ├── app.js JS to render the dynamic portions of the app │ ├── icon.svg Sidebar icon SVG file. Should have a resolution of 64x64px. │ ├── freshservice_logo.png The Freshservice logo that is displayed in the app │ ├── style.css Style sheet for the app │ ├── template.html Contains the HTML required for the app’s UI ├── config Contain…

Goals
- Deliver the packaged workflow reliably in Modules: common, service_user.
- Keep configuration and side effects observable and safe.
- Meet the functional requirements without blocking validation issues.

User Stories
- As an admin, I want to install and configure the app with clear parameters.
- As an agent, I want the app to behave correctly in its declared UI or event surfaces.
- As an operator, I want failures to surface in logs or UI without silent drops.","config, server","Build a Freshworks Platform app for Modules: common, service_user (SCIM FreshService App). Package reference: app_44069_v677869.zip. Match folder layout: config, server. Implement Functional Requirements and Success Criteria verbatim intent; materialize Expected Platform Features using manifest-safe patterns.","- When events onAppInstall, onAppUninstall fire (module common), run the declared server handlers (Must)
- Use request templates activateConfig, deleteConfig for outbound calls (module common) (Must)
- Collect and validate installation parameters via iparams (Must)
- Log serverless and request failures with enough context to debug (Should)","- Configured serverless / scheduled handlers run when triggers fire without unhandled exceptions
- Request templates return expected HTTP outcomes; API/auth errors are surfaced clearly
- Installation parameters save correctly and are used on subsequent runs
- App passes fdk validate for the declared platform-version
- Invalid configuration or upstream failures do not leave the app in a silent broken state","Serverless events (module common): onAppInstall, onAppUninstall
Request templates (module common): activateConfig, deleteConfig
iparams (installation / configuration parameters)","Low","",""
"40","45061","app_45061_v160650.zip","Bulk Ticket Manager Light","freshdesk","# Bulk Ticket Manager Light ## Description * Full page front-end Freshdesk app for bulk [updating](https://developer.freshdesk.com/api/#bulk_update_tickets) or [deleting](https://developer.freshdesk.com/api/#delete_a_ticket) existing tickets using the Freshdesk Bulk API methods. * The tickets ids are provided with a XLS(X)/CSV file that should contain ticket ids only in 1 single column. Sample is available in the app. * The Freshdesk ticket fields and their values are configured in the UI. ## In…

Goals
- Deliver the packaged workflow reliably in freshdesk.
- Keep configuration and side effects observable and safe.
- Meet the functional requirements without blocking validation issues.

User Stories
- As an admin, I want to install and configure the app with clear parameters.
- As an agent, I want the app to behave correctly in its declared UI or event surfaces.
- As an operator, I want failures to surface in logs or UI without silent drops.","app, config, src","Build a Freshworks Platform app for freshdesk (Bulk Ticket Manager Light). Package reference: app_45061_v160650.zip. Match folder layout: app, config, src. Implement Functional Requirements and Success Criteria verbatim intent; materialize Expected Platform Features using manifest-safe patterns.","- Render UI in locations full_page_app (product freshdesk) (Must)
- Collect and validate installation parameters via iparams (Must)
- Only call domains allowed by whitelisted-domains / request templates (Must)
- Log serverless and request failures with enough context to debug (Should)","- Declared app surfaces load in-product without console errors for Bulk Ticket Manager Light
- Installation parameters save correctly and are used on subsequent runs
- App passes fdk validate for the declared platform-version
- Invalid configuration or upstream failures do not leave the app in a silent broken state","Whitelisted domains (external API / product hosts)
App locations (freshdesk): full_page_app
iparams (installation / configuration parameters)","Low","",""
"41","51392","app_51392_v152672.zip","Schedule Reply App","freshdesk","## Schedule Reply App This app enables agents to schedule the replies to send at a later time,to better manage your workflow, and your customers’ expectations.

Goals
- Deliver the packaged workflow reliably in freshdesk.
- Keep configuration and side effects observable and safe.
- Meet the functional requirements without blocking validation issues.

User Stories
- As an admin, I want to install and configure the app with clear parameters.
- As an agent, I want the app to behave correctly in its declared UI or event surfaces.
- As an operator, I want failures to surface in logs or UI without silent drops.","app, config, server","Build a Freshworks Platform app for freshdesk (Schedule Reply App). Package reference: app_51392_v152672.zip. Match folder layout: app, config, server. Implement Functional Requirements and Success Criteria verbatim intent; materialize Expected Platform Features using manifest-safe patterns.","- Render UI in locations ticket_conversation_editor (product freshdesk) (Must)
- Handle scheduled events onScheduledEvent for product freshdesk (Must)
- Expose SMI functions createSchedule, deleteSchedule, fetchSchedule, updateSchedule where declared (product freshdesk) (Must)
- Collect and validate installation parameters via iparams (Must)
- Only call domains allowed by whitelisted-domains / request templates (Must)
- Log serverless and request failures with enough context to debug (Should)","- Declared app surfaces load in-product without console errors for Schedule Reply App
- Configured serverless / scheduled handlers run when triggers fire without unhandled exceptions
- SMI function invocations complete within platform timeouts and return structured errors on failure
- Installation parameters save correctly and are used on subsequent runs
- App passes fdk validate for the declared platform-version
- Invalid configuration or upstream failures do not leave the app in a silent broken state","Whitelisted domains (external API / product hosts)
App locations (freshdesk): ticket_conversation_editor
Scheduled events (freshdesk): onScheduledEvent
SMI functions (freshdesk): createSchedule, deleteSchedule, fetchSchedule, updateSchedule
Crayons UI (components referenced in app assets)
Data methods (client.data / interface usage in frontend)
iparams (installation / configuration parameters)","Low","",""
"42","202397","app_202397_v672423.zip","Your First App","freshdesk","## Your First App This app displays the name of the requester of a freshdesk ticket in the ticket_sidebar placeholder ### Files and Folders . ├── README.md A file for your future self and developer friends to learn about app ├── app A folder to place all assets required for frontend components │ ├── index.html A landing page for the user to use the app │ ├── scripts JavaScript to place files frontend components business logic │ │ └── app.js │ └── styles A folder to place all the styles for app │…

Goals
- Deliver the packaged workflow reliably in freshdesk.
- Keep configuration and side effects observable and safe.
- Meet the functional requirements without blocking validation issues.

User Stories
- As an admin, I want to install and configure the app with clear parameters.
- As an agent, I want the app to behave correctly in its declared UI or event surfaces.
- As an operator, I want failures to surface in logs or UI without silent drops.","app, config","Build a Freshworks Platform app for freshdesk (Your First App). Package reference: app_202397_v672423.zip. Match folder layout: app, config. Implement Functional Requirements and Success Criteria verbatim intent; materialize Expected Platform Features using manifest-safe patterns.","- Render UI in locations new_email_background, ticket_background, ticket_conversation_editor (product freshdesk) (Must)
- Use request templates getEmailConfigs, getGroups, getProducts, getTicketFields for outbound calls (product freshdesk) (Must)
- Collect and validate installation parameters via iparams (Must)
- Log serverless and request failures with enough context to debug (Should)","- Declared app surfaces load in-product without console errors for Your First App
- Request templates return expected HTTP outcomes; API/auth errors are surfaced clearly
- Installation parameters save correctly and are used on subsequent runs
- App passes fdk validate for the declared platform-version
- Invalid configuration or upstream failures do not leave the app in a silent broken state","App locations (freshdesk): new_email_background, ticket_background, ticket_conversation_editor
Request templates (freshdesk): getEmailConfigs, getGroups, getProducts, getTicketFields
Crayons UI (components referenced in app assets)
Data methods (client.data / interface usage in frontend)
iparams (installation / configuration parameters)","Low","",""
"43","WSHOP-01","","Discord Ticket Notifier","Freshdesk
Freshservice","Sends ticket create/update events to a Discord channel; configurable webhook per install; optional filters (e.g. high-priority)

Goals
 - Improve ticket visibility for support and ops teams via Discord.
 - Enable real-time ticket updates without leaving Discord.

User Stories
- As a team lead, I want new tickets posted in Discord so the team can triage quickly.
 - As an agent, I want escalated tickets in Discord so I can react in time.
 - As an admin, I want to configure which events and channels receive notifications.","config,server","Build a Freshworks Platform 3.0 app for Freshdesk
Freshservice named Discord Ticket Notifier. Implement per Functional Requirements and Success Criteria. Match Expected Platform Features.","- On ticket create, send a Discord webhook with subject, requester, priority, status (Must)
- On ticket update, send a webhook when status or priority changes (Must)
- Configure Discord webhook URL in iparams during install (Must)
- Optionally filter by priority (e.g. only high/urgent) (Should)
- Include ticket ID and link to ticket in Freshdesk/FS (Must)
- Embed format: subject, requester email, priority, status, created date(Must)
- Handle webhook failures (log, optional retry) (Should)","- All configured ticket create events result in Discord message
- Webhook delivers within 30 seconds of event
- Configurable webhook URL saved and used correctly
- App passes fdk validate
- App installs and runs without runtime errors","Serverless events
Request templates
iparams (webhook URL)
App Setup event - onAppInstall","Low","Webhook Resource
Intro to Discord Apps",""
"44","WSHOP-02","","Telegram Ticket Alerts","Freshdesk
Freshservice","Sends high-priority or all ticket alerts to a Telegram group/channel; optional daily digest; bot replies

Goals
- Enable mobile-first ticket alerts via Telegram.
- Support both instant alerts and optional daily digest.

User Stories
- As an on-call agent, I want ticket alerts on my phone via Telegram.
- As a team, we want a daily digest of new tickets.
- As an admin, I want to configure priority/type filters.","config,server","Build a Freshworks Platform 3.0 app for Freshdesk
Freshservice named Telegram Ticket Alerts. Implement per Functional Requirements and Success Criteria. Match Expected Platform Features.","- Send Telegram message for new tickets using Bot API (Must)
- Store bot token and chat ID in iparams (Must)
- Message includes subject, requester, priority, link to ticket (Must)
- Optional filter by priority (high/urgent only)
- Optional daily digest of new tickets in last 24h
- Validate bot token on install (Custom Iparam)","- Each new ticket results in Telegram message
- Message appears in Telegram within 60 seconds
- Invalid bot token surfaced at install time, Install fails with clear error
- App passes fdk validate
- Priority filter works when configured. Only high/urgent sent when filter enabled","Serverless events
Request templates (Telegram Bot API)
iparams (bot token, chat ID)","Low","Telegram Bot API
Bot Tutorial
@BotFather",""
